вести: ведёт 
самолёт: самолёт 
гаснуть: гаснет 
верх: верх 
рэп: рэп 
шлюха: шлюха 
поц: поц 
русский: русский 
б: б 
пустышка: пустышка 
любовь: любовь 
этот: эта 
стать: стать 
пузатый: пузата 
потеряться: потерялся потерялась 
зверь: зверь 
акула: акула 
это: это этим 
глаз: глаза 
таблетка: таблетка 
бесследно: бесследно 
лестница: лестница 
планета: планеты планете 
тот: ту 
сказка: сказка 
ск: скам 
фак: фак 
дать: дам 
ху: ху 
пацан: пацан 
трэп: трэп 
хотеть: хочет хотят 
сильно: сильно 
щих: щих 
хата: хата 
сосать: сосёт 
последний: последний 
знать: знаю 
аутро: аутро 
текст: текст 
тайный: тайные 
песня: песни 
понять: понял 
исчезать: исчезай 
замок: замок 
ночь: ночь 
хороший: хороший 
очень: очень 
бридж: бридж 
смотреть: смотреть 
просто: просто 
кончить: кончил 
секс: секса 
россия: россия 
пузо: пузо 
изя: изи 
пропасть: пропал 
припев: припев 
фэйк: фэйк 
куплет: куплет 
девочка: девочка 
парень: парень 
трек: трек 
окей: окей 
сеть: сеть 
октябрь: октябрь 
что: чё 
хи: хи 
хайперпоп: хайперпоп 
быть: е 
нужно: нужно 
плохой: плохой 
встреча: встречи 
э: э 
весь: всем 
прыгнуть: прыгнул 
глотка: глотку 
лишь: лишь 
папа: папой 
свет: свет 
табла: таблы 
воздух: воздух 
живот: живот 
щеколда: щеколда 
прямо: прямо 
пока: пока 
мочь: могу 
грызть: грызёт 
полететь: полетел 
предприпев: предприпев 
облако: облака 
всунуть: всунул 
пло: пло 
её: её 
она: неё 
ребёнок: детей 
мой: моих 
темнота: темноте 
отец: отец 
проснуться: проснуться 
съесть: съесть 
