ма: ма 
мучить: мучаем 
предок: предкам 
рэп: рэп 
опубликовать: опубликован 
параллельный: параллельных 
навсегда: навсегда 
всерьёз: всерьёз 
такой: такое 
сломать: сломаем 
бнутаить: бнутая 
россия: россия 
мебель: мебель 
всё: всё 
умирать: умираю 
шрам: шрамы 
понять: пойми 
спиппеть: спиппет 
ты: тебе 
говорить: говорит 
артист: артиста 
довозить: довожу 
припев: припев 
я: мной 
стена: стены 
изрисовать: изрисуем 
слеза: слёз 
мама: мам 
кровь: кровь 
мёртвый: мёртв 
первый: первые 
психиатр: психиатр 
вселенная: вселенных 
пост: пост 
поп: поп 
увидеть: увидели 
никак: никак 
куплет: куплет 
ответить: ответить 
твой: твоя 
порез: порезы 
травма: травма 
тысяча: тысяча 
русский: русский 
рука: руках 
ёбнутаить: ёбнутая 
хайперпоп: хайперпоп 
это: это 
боль: боль 
внутри: внутри 
остаться: остаться 
пропустить: пропущенных 
мой: моих 
текст: текст 
расстаться: расстаться 
исправить: исправить 
давать: давай 
песня: песни 
ссылка: ссылка 
чувство: чувство 
тикток: тиктоке 
заглушить: заглушат 
