самолёт: самолёт 
потерять: потерял 
злиться: злюсь 
грудь: груди 
обрести: обрёл 
убежать: убегу 
питать: питаешь питает 
шум: шум 
ореол: ореол 
интро: интро 
оставить: оставь 
нету: нету 
россия: россия 
всё: всё 
почему: почему 
сразу: сразу 
русский: русский 
лист: лист 
кричать: кричу 
любить: люблю 
ялрс: ялрс 
припев: припев 
бридж: бридж 
выносить: выношу 
сложить: сложи 
безопасность: безопасность 
найти: нашёл 
бумага: бумаги 
любовь: любовь 
красивый: красива 
подохнуть: подохла 
голос: голос 
ухо: ушах 
куплет: куплет 
ещё: ещё 
понимать: понимаю 
ести: ебёт 
толк: толка 
время: времени 
хотеть: хочет 
снова: снова 
провод: провод 
словно: словно 
привлекать: привлекает 
мозг: мозги 
её: её 
пройти: прошло 
забыть: забыв 
это: это 
боль: боль 
шанс: шанс 
белый: белый 
ломка: ломка 
сколько: сколько 
остаться: остаться 
хайперпоп: хайперпоп 
мой: моих 
текст: текст 
плохо: плохо 
дать: дай 
песня: песни 
уйти: уйду 
таинственный: таинственный 
повод: повод 
просто: просто 
искать: искал 
